Date,Longitude,Latitude,EVI,TA,LST,Wind,Fire
2022-01-01,-123.75462638235103,41.9949864769535,1712,5,13505,23,0
2022-01-01,-123.75046232786934,41.9949864769535,1923,5,13505,23,0
2022-01-01,-123.74629827338767,41.9949864769535,1923,5,13505,23,0
2022-01-01,-123.74213421890597,41.9949864769535,1815,5,13505,23,0
2022-01-01,-123.7379701644243,41.9949864769535,3449,5,13571,23,0
2022-01-01,-123.7338061099426,41.9949864769535,2149,5,13571,23,0
2022-01-01,-123.72964205546093,41.9949864769535,2149,5,13610,23,0
2022-01-01,-123.72547800097925,41.9949864769535,1580,5,13610,23,0
2022-01-01,-123.72131394649756,41.9949864769535,2658,5,13638,23,0
2022-01-01,-123.71714989201588,41.9949864769535,2020,5,13638,23,0
2022-01-01,-123.71298583753419,41.9949864769535,2020,5,13638,23,0
2022-01-01,-123.70882178305251,41.9949864769535,796,5,13638,23,0
2022-01-01,-123.70465772857082,41.9949864769535,758,5,13649,23,0
2022-01-01,-123.70049367408915,41.9949864769535,758,5,13649,23,0
2022-01-01,-123.69632961960745,41.9949864769535,1246,5,13655,23,0
2022-01-01,-123.69216556512578,41.9949864769535,431,5,13655,23,0
2022-01-01,-123.68800151064409,41.9949864769535,564,5,13627,23,0
2022-01-01,-123.68383745616241,41.9949864769535,564,5,13627,23,0
2022-01-01,-123.67967340168073,41.9949864769535,587,5,13627,23,0
2022-01-01,-123.67550934719904,41.9949864769535,1664,5,13627,23,0
2022-01-01,-123.67134529271736,41.9949864769535,1046,5,13604,23,0
2022-01-01,-123.66718123823567,41.9949864769535,1046,5,13604,23,0
2022-01-01,-123.663017183754,41.9949864769535,133,5,13554,23,0
2022-01-01,-123.6588531292723,41.9949864769535,1913,5,13554,23,0
2022-01-01,-123.65468907479062,41.9949864769535,-199,5,13513,23,0
2022-01-01,-123.65052502030893,41.9949864769535,-199,5,13513,23,0
2022-01-01,-123.64636096582726,41.9949864769535,72,5,13513,23,0
2022-01-01,-123.64219691134556,41.9949864769535,518,5,13513,23,0
2022-01-01,-123.63803285686389,41.9949864769535,2578,5,13484,23,0
2022-01-01,-123.63386880238221,41.9949864769535,2578,5,13484,23,0
2022-01-01,-123.62970474790052,41.9949864769535,2795,5,13545,23,0
2022-01-01,-123.62554069341884,41.9949864769535,1091,5,13545,23,0
2022-01-01,-123.62137663893715,41.9949864769535,2598,5,13602,23,0
2022-01-01,-123.61721258445547,41.9949864769535,2598,5,13602,23,0
2022-01-01,-123.6088844754921,41.9949864769535,2397,5,13602,23,0
2022-01-01,-123.60472042101041,41.9949864769535,2396,5,13661,23,0
2022-01-01,-123.60055636652874,41.9949864769535,2396,5,13661,23,0
2022-01-01,-123.59639231204704,41.9949864769535,2603,5,13632,23,0
2022-01-01,-123.59222825756537,41.9949864769535,2045,5,13632,23,0
2022-01-01,-123.58806420308369,41.9949864769535,1828,5,13662,23,0